Time resolution is 1 ps
Memory Initialized
Memory[0] = 00000000000000000101
Initial values - di: 000, instr: 0000, cc: 0, oe: 1, rld: 0, ci: 1
At time                10000: di = 000, instr = 0000, cc = 0, oe = 1, rld = 0, ci = 1, y = xxx
At time                15000: di = 000, instr = 0000, cc = 0, oe = 1, rld = 0, ci = 1, y = 000
At time                30000: di = 002, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 000
At time                35000: di = 002, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 002
At time                50000: di = 000, instr = 1110, cc = 0, oe = 1, rld = 0, ci = 1, y = 002
At time                55000: di = 000, instr = 1110, cc = 0, oe = 1, rld = 0, ci = 1, y = 003
At time                57000: di = 004, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 003
At time                65000: di = 004, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 004
At time                71000: di = 000, instr = 1110, cc = 0, oe = 1, rld = 0, ci = 1, y = 004
At time                75000: di = 000, instr = 1110, cc = 0, oe = 1, rld = 0, ci = 1, y = 005
At time                78000: di = 006, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 005
At time                85000: di = 006, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 006
At time                92000: di = 000, instr = 1110, cc = 0, oe = 1, rld = 0, ci = 1, y = 006
At time                95000: di = 000, instr = 1110, cc = 0, oe = 1, rld = 0, ci = 1, y = 007
At time                99000: di = 008, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 007
At time               105000: di = 008, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 008
At time               106000: di = 000, instr = 1110, cc = 1, oe = 1, rld = 0, ci = 1, y = 008
At time               115000: di = 000, instr = 1110, cc = 1, oe = 1, rld = 0, ci = 1, y = 009
At time               120000: di = 00a, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 009
At time               125000: di = 00a, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 00a
At time               127000: di = 000, instr = 1110, cc = 1, oe = 1, rld = 0, ci = 1, y = 00a
At time               135000: di = 000, instr = 1110, cc = 1, oe = 1, rld = 0, ci = 1, y = 00b
At time               141000: di = 00d, instr = 0001, cc = 0, oe = 1, rld = 0, ci = 1, y = 00b
